bottle,id,sample,drops_hno3,date,time,salinity,ph
152,POT_BR_A,T1,15,2023-08-01,9:15,15.3,7.71
153,POT_BR_D,T1,15,2023-08-01,10:10,15.3,8.11
154,POT_BR_G,T1,15,2023-08-01,10:42,15.3,8.2
155,POT_BR_J,T1,15,2023-08-01,11:06,15.3,8.23
184,POT_BR_A,T2,15,2023-08-01,12:20,15.3,7.59
185,POT_BR_E,T2,15,2023-08-01,12:58,15.3,8.26
186,POT_BR_G,T2,15,2023-08-01,13:20,15.3,8.22
187,POT_BR_K,T2,15,2023-08-01,13:49,15.3,8.28
182,YOR_BR_A,T1,15,2023-08-16,10:28,22.61,8.05
180,YOR_BR_D,T1,15,2023-08-16,11:00,22.61,8.24
183,YOR_BR_G,T1,15,2023-08-16,9:40,22.61,8
181,YOR_BR_J,T1,15,2023-08-16,10:06,22.61,8.09
160,YOR_BR_A,T2,15,2023-08-16,13:28,22.61,7.91
161,YOR_BR_D,T2,15,2023-08-16,13:46,22.61,8.69
163,YOR_BR_G,T2,15,2023-08-16,12:46,22.61,8.47
162,YOR_BR_J,T2,15,2023-08-16,13:05,22.61,8.01
166,YOR_FW_A,T1,15,2023-08-17,10:45,0.3,7.91
165,YOR_FW_D,T1,15,2023-08-17,11:11,0.3,8.27
164,YOR_FW_G,T1,15,2023-08-17,10:29,0.3,7.49
167,YOR_FW_J,T1,15,2023-08-17,11:15,0.3,7.46
175,YOR_FW_A,T2,15,2023-08-17,12:57,0.3,7.56
174,YOR_FW_D,T2,15,2023-08-17,13:22,0.3,10.2
173,YOR_FW_G,T2,15,2023-08-17,13:21,0.3,7.49
172,YOR_FW_J,T2,15,2023-08-17,13:41,0.3,7.6
176,POT_FW_A,T1,15,2023-08-02,12:28,1.2,8.73
179,POT_FW_D,T1,15,2023-08-02,11:40,1.2,8.45
178,POT_FW_G,T1,15,2023-08-02,10:11,1.2,8.01
177,POT_FW_J,T1,15,2023-08-02,11:19,1.2,8.49
159,POT_FW_A,T2,15,2023-08-02,14:35,1.2,8.57
158,POT_FW_D,T2,15,2023-08-02,15:24,1.2,9.75
156,POT_FW_G,T2,15,2023-08-02,13:35,1.2,8.07
157,POT_FW_J,T2,15,2023-08-02,14:20,1.2,8.73