datetime,cond_us_cm,spec_cond_us_cm,salinity_ppt
8/1/23 11:10,26862,25428.8,15.4906
8/1/23 11:15,26621.6,25235,15.3613
8/1/23 11:20,26601.1,25201,15.3387
8/1/23 11:25,26547.2,25164.4,15.3143
8/1/23 11:30,26552.3,25164.4,15.3143
8/1/23 11:35,26562.6,25164.5,15.3144
8/1/23 11:40,26598.5,25179.2,15.3242
8/1/23 11:45,26572.8,25154.9,15.3079
8/1/23 11:50,26608.8,25174.5,15.321
8/1/23 11:55,26613.9,25160,15.3113
8/1/23 12:00,26678.2,25206.3,15.3422
8/1/23 12:05,26655.1,25170,15.318
8/1/23 12:10,26660.2,25174.9,15.3212
8/1/23 12:15,26724.7,25221.3,15.3522
8/1/23 12:20,26724.7,25216.5,15.349
8/1/23 12:25,26724.7,25192.4,15.3329
8/1/23 12:30,26766,25226.5,15.3557
8/1/23 12:35,26766,25216.9,15.3492
8/1/23 12:40,26766,25202.4,15.3396
8/1/23 12:45,26799.7,25243.8,15.3672
8/1/23 12:50,26771.2,25202.5,15.3397
8/1/23 12:55,26836,25229.8,15.3578
8/1/23 13:00,26804.9,25215,15.348
8/1/23 13:05,26872.4,25264.1,15.3807
8/1/23 13:10,26872.4,25239.9,15.3646
8/1/23 13:15,26877.6,25244.8,15.3679
8/1/23 13:20,26911.4,25257.3,15.3762
8/1/23 13:25,26916.6,25233.3,15.3602
8/1/23 13:30,26947.9,25243.4,15.3669
8/1/23 13:35,26947.9,25248.3,15.3702
8/1/23 13:40,26947.9,25229,15.3573
8/1/23 13:45,26947.9,25248.3,15.3702
8/1/23 13:50,26984.4,25248.8,15.3705
8/1/23 13:55,28931.4,27057.2,16.5812
8/1/23 14:00,29014.3,27083.3,16.5987
8/1/23 14:05,29054.4,27089.9,16.6031
8/1/23 14:10,29014.3,27078.2,16.5953
8/1/23 14:15,28977.1,27033.2,16.565
8/1/23 14:20,29014.3,27078.2,16.5953
8/1/23 14:25,29014.3,27047.4,16.5746
8/1/23 14:30,29048.7,27064.1,16.5858
8/1/23 14:35,29014.3,27052.6,16.578
8/1/23 14:40,29054.4,27064.3,16.5859
8/1/23 14:45,732,695.1,0.3388
8/1/23 14:50,347.2,323.3,0.156
8/1/23 14:55,350.9,321.5,0.1551
8/1/23 15:00,356.5,322.8,0.1557
8/1/23 15:05,356,321.6,0.1552
8/1/23 15:10,209.8,193,0.0943
8/1/23 15:15,184.4,169.6,0.0834
8/1/23 15:20,183.5,167.9,0.0826
8/1/23 15:25,185.7,169.3,0.0832
8/1/23 15:30,180.3,162.9,0.0803
8/1/23 15:35,179.8,162,0.0799
8/1/23 15:40,154.5,139.2,0.0694
8/1/23 15:45,148.7,133.9,0.067
8/1/23 15:50,150,135,0.0675
8/1/23 15:55,150.5,135.2,0.0676
8/1/23 16:00,154.1,138.1,0.0689
8/1/23 16:05,156.3,140.2,0.0699
8/1/23 16:10,157.7,141.1,0.0703
8/1/23 16:15,159.5,142,0.0707
8/1/23 16:20,159.5,141.3,0.0704
8/1/23 16:25,160.4,141.5,0.0705
8/1/23 16:30,161.3,141.7,0.0706
8/1/23 16:35,161.3,141.2,0.0703
8/1/23 16:40,162.7,142.1,0.0708
8/1/23 16:45,162.7,141.9,0.0706
8/1/23 16:50,163.1,142,0.0707
8/1/23 16:55,163.1,141.9,0.0706
8/1/23 17:00,163.1,141.8,0.0706
8/1/23 17:05,163.6,142.3,0.0708
8/1/23 17:10,163.6,143.4,0.0713
8/1/23 17:15,162.2,143.3,0.0713
8/1/23 17:20,159.5,141.1,0.0703
8/1/23 17:25,159,141.3,0.0704
8/1/23 17:30,159,141.8,0.0706
8/1/23 17:35,159,142.3,0.0708
8/1/23 17:40,159.5,143,0.0712
8/1/23 17:45,158.6,142.4,0.0709
8/1/23 17:50,158.6,142.6,0.071
8/1/23 17:55,158.6,142.8,0.0711
8/1/23 18:00,158.1,142.8,0.0711
8/1/23 18:05,157.2,143.6,0.0714