id_num,parameter,value
1,nh3_n_mg_l,0.046
4,nh3_n_mg_l,0.018
7,nh3_n_mg_l,0.022
10,nh3_n_mg_l,0.022
13,nh3_n_mg_l,0.085
16,nh3_n_mg_l,0.012
19,nh3_n_mg_l,0.03
22,nh3_n_mg_l,0.015
25,nh3_n_mg_l,0.049
28,nh3_n_mg_l,0.02
31,nh3_n_mg_l,0.043
34,nh3_n_mg_l,0.01
73,nh3_n_mg_l,0.009
76,nh3_n_mg_l,0.02
79,nh3_n_mg_l,0.009
82,nh3_n_mg_l,0.015
85,nh3_n_mg_l,0.031
88,nh3_n_mg_l,0.015
91,nh3_n_mg_l,0.014
94,nh3_n_mg_l,0.037
97,nh3_n_mg_l,0.012
100,nh3_n_mg_l,0.013
103,nh3_n_mg_l,0.01
106,nh3_n_mg_l,0.011
109,nh3_n_mg_l,0.133
112,nh3_n_mg_l,0.158
115,nh3_n_mg_l,0.01
118,nh3_n_mg_l,0.016
121,nh3_n_mg_l,0.015
124,nh3_n_mg_l,0.01
127,nh3_n_mg_l,0.03
130,nh3_n_mg_l,0.016
133,nh3_n_mg_l,0.018
136,nh3_n_mg_l,0.079
139,nh3_n_mg_l,0.01
142,nh3_n_mg_l,0.015
1,po4_p_mg_l,0.007
4,po4_p_mg_l,0.0034
7,po4_p_mg_l,0.0034
10,po4_p_mg_l,0.0034
13,po4_p_mg_l,0.0106
16,po4_p_mg_l,0.0034
19,po4_p_mg_l,0.0034
22,po4_p_mg_l,0.0034
25,po4_p_mg_l,0.0046
28,po4_p_mg_l,0.0034
31,po4_p_mg_l,0.0051
34,po4_p_mg_l,0.0034
73,po4_p_mg_l,0.0034
76,po4_p_mg_l,0.004
79,po4_p_mg_l,0.0034
82,po4_p_mg_l,0.0034
85,po4_p_mg_l,0.0046
88,po4_p_mg_l,0.0034
91,po4_p_mg_l,0.0034
94,po4_p_mg_l,0.0056
97,po4_p_mg_l,0.0034
100,po4_p_mg_l,0.0034
103,po4_p_mg_l,0.0034
106,po4_p_mg_l,0.0034
109,po4_p_mg_l,0.0263
112,po4_p_mg_l,0.0289
115,po4_p_mg_l,0.0047
118,po4_p_mg_l,0.0047
121,po4_p_mg_l,0.004
124,po4_p_mg_l,0.0039
127,po4_p_mg_l,0.0057
130,po4_p_mg_l,0.0037
133,po4_p_mg_l,0.0043
136,po4_p_mg_l,0.0118
139,po4_p_mg_l,0.0034
142,po4_p_mg_l,0.0034
1,no23_n_mg_l,0.0063
4,no23_n_mg_l,0.008
7,no23_n_mg_l,0.0066
10,no23_n_mg_l,0.0159
13,no23_n_mg_l,0.0043
16,no23_n_mg_l,0.0027
19,no23_n_mg_l,0.0062
22,no23_n_mg_l,0.004
25,no23_n_mg_l,0.0062
28,no23_n_mg_l,0.0043
31,no23_n_mg_l,0.0058
34,no23_n_mg_l,0.0042
73,no23_n_mg_l,0.0024
76,no23_n_mg_l,0.0022
79,no23_n_mg_l,0.0105
82,no23_n_mg_l,0.0014
85,no23_n_mg_l,0.0022
88,no23_n_mg_l,0.003
91,no23_n_mg_l,0.0077
94,no23_n_mg_l,0.0023
97,no23_n_mg_l,0.0037
100,no23_n_mg_l,0.0039
103,no23_n_mg_l,0.0145
106,no23_n_mg_l,0.0081
109,no23_n_mg_l,0.0224
112,no23_n_mg_l,0.0143
115,no23_n_mg_l,0.012
118,no23_n_mg_l,0.0143
121,no23_n_mg_l,0.002
124,no23_n_mg_l,0.0104
127,no23_n_mg_l,0.0125
130,no23_n_mg_l,0.0187
133,no23_n_mg_l,0.0095
136,no23_n_mg_l,0.0071
139,no23_n_mg_l,0.0231
142,no23_n_mg_l,0.0045
1,so4_mg_l,1069.15
4,so4_mg_l,1081.17
7,so4_mg_l,1048.11
10,so4_mg_l,1046.95
19,so4_mg_l,1051.96
20,so4_mg_l,995.88
21,so4_mg_l,1012.01
22,so4_mg_l,922.86
23,so4_mg_l,1031.35
24,so4_mg_l,1006.21
26,so4_mg_l,1027.06
27,so4_mg_l,972.41
28,so4_mg_l,1015.53
29,so4_mg_l,969.39
30,so4_mg_l,1030.54
73,so4_mg_l,1468.09
76,so4_mg_l,1336.49
79,so4_mg_l,1485.86
82,so4_mg_l,1446.53
91,so4_mg_l,1326.13
92,so4_mg_l,1470.97
93,so4_mg_l,1420.29
94,so4_mg_l,1468.50
95,so4_mg_l,1438.94
96,so4_mg_l,1452.88
97,so4_mg_l,1433.40
98,so4_mg_l,1459.03
99,so4_mg_l,1491.28
100,so4_mg_l,1451.10
101,so4_mg_l,1472.78
102,so4_mg_l,1486.62